"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"1","Congressional Calendars","CCAL-119hcal-2025-10-21","CCAL-119hcal-2025-10-21-pt9","History of Bills and Resolutions - House Bills","https://www.govinfo.gov/app/details/CCAL-119hcal-2025-10-21/CCAL-119hcal-2025-10-21-pt9","https://www.govinfo.gov/content/pkg/CCAL-119hcal-2025-10-21/pdf/CCAL-119hcal-2025-10-21-pt9.pdf","246.7 KB","https://www.govinfo.gov/content/pkg/CCAL-119hcal-2025-10-21/html/CCAL-119hcal-2025-10-21-pt9.htm","185.2 KB","","0 B","","0 B","","0 B"," or identical bills, and bills having reference to each other, are indicated by number in parentheses. No. Index Key and History of Bill HOUSE BILLS H.R. 1 (H. Res. 436) (H. Res. 492).-- To provide for reconciliation pursuant to title II of H. Con. Res. 14. Reported from the Budget May 20, 2025; Rept. 119-106. Union Calendar. Passed House ...","","2025-10-21"
"2","Congressional Calendars","CCAL-119hcal-2025-10-21","CCAL-119hcal-2025-10-21-pt13","History of Bills and Resolutions - Senate Bills","https://www.govinfo.gov/app/details/CCAL-119hcal-2025-10-21/CCAL-119hcal-2025-10-21-pt13","https://www.govinfo.gov/content/pkg/CCAL-119hcal-2025-10-21/pdf/CCAL-119hcal-2025-10-21-pt13.pdf","186.7 KB","https://www.govinfo.gov/content/pkg/CCAL-119hcal-2025-10-21/html/CCAL-119hcal-2025-10-21-pt13.htm","56.7 KB","","0 B","","0 B","","0 B"," to take into custody aliens who have been charged in the United States with theft, and for other purposes. Ordered placed on the calendar Jan. 7, 2025. Considered Jan. 13, 14, 15, 16, 17, 2025. Passed Senate amended Jan. 20, 2025; Roll No. 7: 64-35. Received in House and held at desk Jan. 21, 2025. Passed House Jan. 22, 2025; Roll No. 23: ...","","2025-10-21"
"3","Congressional Calendars","CCAL-119hcal-2025-10-21","CCAL-119hcal-2025-10-21-pt22","Index - Alphabetical Listing","https://www.govinfo.gov/app/details/CCAL-119hcal-2025-10-21/CCAL-119hcal-2025-10-21-pt22","https://www.govinfo.gov/content/pkg/CCAL-119hcal-2025-10-21/pdf/CCAL-119hcal-2025-10-21-pt22.pdf","203.9 KB","https://www.govinfo.gov/content/pkg/CCAL-119hcal-2025-10-21/html/CCAL-119hcal-2025-10-21-pt22.htm","117.1 KB","","0 B","","0 B","","0 B",". H.R. 1713; Mr. Lucas et al. Dalles Watershed Development Act. H.R. 655; Mr. Bentz. DOE and USDA Interagency Research Act. H.R. 1326; Mr. Lucas et al. Emergency Wildfire Fighting Technology Act. H.R. 836; Mr. Valadao et al. Fire Safe Electrical Corridors Act. H.R. 2492; Mr. Carbajal et al. Pleasant Valley Ranger District Administrative Site to ...","","2025-10-21"
"4","Congressional Calendars","CCAL-119scal-2025-10-20","CCAL-119scal-2025-10-20-pt2","Committee Assignments","https://www.govinfo.gov/app/details/CCAL-119scal-2025-10-20/CCAL-119scal-2025-10-20-pt2","https://www.govinfo.gov/content/pkg/CCAL-119scal-2025-10-20/pdf/CCAL-119scal-2025-10-20-pt2.pdf","167.8 KB","https://www.govinfo.gov/content/pkg/CCAL-119scal-2025-10-20/html/CCAL-119scal-2025-10-20-pt2.htm","13.3 KB","","0 B","","0 B","","0 B"," of the Chairman. John Boozman, of Arkansas, Chairman Mitch McConnell, of Kentucky John Hoeven, of North Dakota Joni Ernst, of Iowa Cindy Hyde-Smith, of Mississippi Roger Marshall, of Kansas Tommy Tuberville, of Alabama James C. Justice, of West Virginia Chuck Grassley, of Iowa John Thune, of South Dakota Deb Fischer, of Nebraska Jerry Moran, of ...","","2025-10-20"
"5","Congressional Calendars","CCAL-119scal-2025-10-20","CCAL-119scal-2025-10-20-pt6","General Orders","https://www.govinfo.gov/app/details/CCAL-119scal-2025-10-20/CCAL-119scal-2025-10-20-pt6","https://www.govinfo.gov/content/pkg/CCAL-119scal-2025-10-20/pdf/CCAL-119scal-2025-10-20-pt6.pdf","192.7 KB","https://www.govinfo.gov/content/pkg/CCAL-119scal-2025-10-20/html/CCAL-119scal-2025-10-20-pt6.htm","80.9 KB","","0 B","","0 B","","0 B"," Jan. 8, 2025.--Read the Senator for purposes of second time and placed Tuberville and determining compliance on the calendar. others with title IX of the Education Amendments of 1972 in athletics, sex shall be recognized based solely on a person's reproductive biology and genetics at birth. 3 H.R. 23 An act to impose Jan. 13, 2025.--Read the ...","","2025-10-20"
"6","History of Bills","HOB-2025","HOB-2025-hr4490","A bill to amend the International Organizations Immunities Act to extend diplomatic privileges and immunities to certain additional international and regional organizations, and for other purposes; to the Committee on Foreign Affairs.","https://www.govinfo.gov/app/details/HOB-2025/HOB-2025-hr4490","","0 B","https://www.govinfo.gov/content/pkg/HOB-2025/html/HOB-2025-hr4490.htm","2.1 KB","","0 B","","0 B","","0 B"," international and regional organizations, and for other purposes; to the Committee on Foreign Affairs. By Mr. CASTRO of Texas (for himself, Mrs. Kim, Mr. Olszewski, Mr. Johnson of South Dakota, Mr. Case, Mrs. Radewagen, Mr. Foster, Mrs. Cherfilus-McCormick, and Mr. Meeks), H3473 [17JY] Rules suspended. Passed House amended, H3734 [2SE] Text, H3734...","","2025-10-17"
"7","Congressional Calendars","CCAL-119hcal-2025-10-17","CCAL-119hcal-2025-10-17-pt9","History of Bills and Resolutions - House Bills","https://www.govinfo.gov/app/details/CCAL-119hcal-2025-10-17/CCAL-119hcal-2025-10-17-pt9","https://www.govinfo.gov/content/pkg/CCAL-119hcal-2025-10-17/pdf/CCAL-119hcal-2025-10-17-pt9.pdf","244.8 KB","https://www.govinfo.gov/content/pkg/CCAL-119hcal-2025-10-17/html/CCAL-119hcal-2025-10-17-pt9.htm","183.4 KB","","0 B","","0 B","","0 B"," or identical bills, and bills having reference to each other, are indicated by number in parentheses. No. Index Key and History of Bill HOUSE BILLS H.R. 1 (H. Res. 436) (H. Res. 492).-- To provide for reconciliation pursuant to title II of H. Con. Res. 14. Reported from the Budget May 20, 2025; Rept. 119-106. Union Calendar. Passed House ...","","2025-10-17"
"8","Congressional Calendars","CCAL-119hcal-2025-10-17","CCAL-119hcal-2025-10-17-pt13","History of Bills and Resolutions - Senate Bills","https://www.govinfo.gov/app/details/CCAL-119hcal-2025-10-17/CCAL-119hcal-2025-10-17-pt13","https://www.govinfo.gov/content/pkg/CCAL-119hcal-2025-10-17/pdf/CCAL-119hcal-2025-10-17-pt13.pdf","186.5 KB","https://www.govinfo.gov/content/pkg/CCAL-119hcal-2025-10-17/html/CCAL-119hcal-2025-10-17-pt13.htm","56.1 KB","","0 B","","0 B","","0 B"," to take into custody aliens who have been charged in the United States with theft, and for other purposes. Ordered placed on the calendar Jan. 7, 2025. Considered Jan. 13, 14, 15, 16, 17, 2025. Passed Senate amended Jan. 20, 2025; Roll No. 7: 64-35. Received in House and held at desk Jan. 21, 2025. Passed House Jan. 22, 2025; Roll No. 23: ...","","2025-10-17"
"9","Congressional Calendars","CCAL-119scal-2025-10-16","CCAL-119scal-2025-10-16-pt2","Committee Assignments","https://www.govinfo.gov/app/details/CCAL-119scal-2025-10-16/CCAL-119scal-2025-10-16-pt2","https://www.govinfo.gov/content/pkg/CCAL-119scal-2025-10-16/pdf/CCAL-119scal-2025-10-16-pt2.pdf","167.8 KB","https://www.govinfo.gov/content/pkg/CCAL-119scal-2025-10-16/html/CCAL-119scal-2025-10-16-pt2.htm","13.3 KB","","0 B","","0 B","","0 B"," of the Chairman. John Boozman, of Arkansas, Chairman Mitch McConnell, of Kentucky John Hoeven, of North Dakota Joni Ernst, of Iowa Cindy Hyde-Smith, of Mississippi Roger Marshall, of Kansas Tommy Tuberville, of Alabama James C. Justice, of West Virginia Chuck Grassley, of Iowa John Thune, of South Dakota Deb Fischer, of Nebraska Jerry Moran, of ...","","2025-10-16"
"10","Congressional Calendars","CCAL-119scal-2025-10-16","CCAL-119scal-2025-10-16-pt6","General Orders","https://www.govinfo.gov/app/details/CCAL-119scal-2025-10-16/CCAL-119scal-2025-10-16-pt6","https://www.govinfo.gov/content/pkg/CCAL-119scal-2025-10-16/pdf/CCAL-119scal-2025-10-16-pt6.pdf","192.8 KB","https://www.govinfo.gov/content/pkg/CCAL-119scal-2025-10-16/html/CCAL-119scal-2025-10-16-pt6.htm","79.9 KB","","0 B","","0 B","","0 B"," Jan. 8, 2025.--Read the Senator for purposes of second time and placed Tuberville and determining compliance on the calendar. others with title IX of the Education Amendments of 1972 in athletics, sex shall be recognized based solely on a person's reproductive biology and genetics at birth. 3 H.R. 23 An act to impose Jan. 13, 2025.--Read the ...","","2025-10-16"
