Category: All categories

Day,trump: (United States),kamala harris: (United States)
2024-07-01,4,<1
2024-07-02,4,<1
2024-07-03,3,<1
2024-07-04,3,<1
2024-07-05,3,<1
2024-07-06,3,<1
2024-07-07,3,<1
2024-07-08,2,<1
2024-07-09,3,<1
2024-07-10,3,<1
2024-07-11,3,<1
2024-07-12,4,<1
2024-07-13,68,<1
2024-07-14,100,<1
2024-07-15,31,<1
2024-07-16,19,<1
2024-07-17,14,<1
2024-07-18,16,1
2024-07-19,22,1
2024-07-20,10,<1
2024-07-21,11,9
2024-07-22,9,12
2024-07-23,9,10
2024-07-24,8,7
2024-07-25,7,8
2024-07-26,7,5
2024-07-27,7,4
2024-07-28,7,3
2024-07-29,9,3
2024-07-30,8,3
2024-07-31,8,4
2024-08-01,7,4
2024-08-02,5,3
2024-08-03,5,3
2024-08-04,4,2
2024-08-05,4,2
2024-08-06,4,5
2024-08-07,5,3
2024-08-08,5,2
2024-08-09,5,2
2024-08-10,5,2
2024-08-11,5,2
2024-08-12,5,2
2024-08-13,7,1
2024-08-14,5,1
2024-08-15,4,1
2024-08-16,4,1
2024-08-17,4,1
2024-08-18,4,1
2024-08-19,4,1
2024-08-20,5,2
2024-08-21,6,3
2024-08-22,6,2
2024-08-23,7,6
2024-08-24,6,2
2024-08-25,4,2
2024-08-26,4,1
2024-08-27,4,1
2024-08-28,4,1
2024-08-29,5,2
2024-08-30,4,2
2024-08-31,4,1
2024-09-01,4,1
2024-09-02,3,1
2024-09-03,3,1
2024-09-04,4,1
2024-09-05,4,1
2024-09-06,4,1
2024-09-07,4,1
2024-09-08,3,1
2024-09-09,4,1
2024-09-10,6,1
2024-09-11,18,6
2024-09-12,8,2
2024-09-13,7,2
2024-09-14,6,2
2024-09-15,17,1
2024-09-16,14,1
2024-09-17,6,1
2024-09-18,6,1
2024-09-19,5,1
2024-09-20,5,1
2024-09-21,4,1
2024-09-22,4,1
2024-09-23,4,1
2024-09-24,4,1
2024-09-25,4,1
2024-09-26,4,1
2024-09-27,4,1
2024-09-28,4,1
2024-09-29,4,1
2024-09-30,4,1
2024-10-01,4,1
2024-10-02,4,1
2024-10-03,4,1
2024-10-04,4,1
2024-10-05,5,1
2024-10-06,4,1
2024-10-07,4,1
2024-10-08,4,1
2024-10-09,4,1
2024-10-10,4,1
2024-10-11,5,1
2024-10-12,5,1
2024-10-13,5,1
2024-10-14,5,1
2024-10-15,6,1
2024-10-16,5,2
2024-10-17,5,2
2024-10-18,5,1
2024-10-19,5,1
2024-10-20,6,2
2024-10-21,7,2
2024-10-22,6,2
2024-10-23,7,2
2024-10-24,6,2
2024-10-25,8,2
2024-10-26,9,2
2024-10-27,9,2
2024-10-28,10,2
2024-10-29,9,2
2024-10-30,8,2
2024-10-31,9,2
2024-11-01,9,2
2024-11-02,9,2
2024-11-03,10,3
2024-11-04,11,3
2024-11-05,27,7
2024-11-06,79,25
2024-11-07,27,4
2024-11-08,20,2
2024-11-09,15,1
2024-11-10,13,1
2024-11-11,11,1
2024-11-12,10,1
2024-11-13,12,1
2024-11-14,9,1
2024-11-15,7,<1
2024-11-16,6,<1
2024-11-17,6,<1
2024-11-18,6,<1
2024-11-19,6,<1
2024-11-20,6,<1
2024-11-21,5,<1
2024-11-22,4,<1
2024-11-23,4,<1
2024-11-24,4,<1
2024-11-25,4,<1
2024-11-26,4,<1
2024-11-27,4,<1
2024-11-28,4,<1
2024-11-29,3,<1
2024-11-30,3,<1
